
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From: .deny,Deny
.deny,Denegar
#From: .srcip,Source IP Range
.srcip,Intervalo IP de origen
#From: ai.c2,Source IP Start
ai.c2, Fuente de IP inicio
#From: ai.c3,Source IP End
ai.c3, Fuente de IP final
#From: .clear,Clear
.clear,Borrar
#From: ai.title.IFRL,Inbound Filter Rules List
ai.title.IFRL, Lista de reglas de filtro entrante
#From: hhai.name,Give each rule a <strong>Name</strong> that is meaningful to you.
hhai.name, Asígnele a cada regla un <strong>Nombre</strong> que sea significativo para usted
#From: hhai.action,Each rule can either <strong>Allow</strong> or <strong>Deny</strong> access from the WAN.
hhai.action, Cada regla puede <strong>Permitir</strong> o <strong>Denegar</strong> el acceso desde la WAN
#From: hhai.ipr,Up to eight ranges of WAN IP addresses can be controlled by each rule. The checkbox by each IP range can be used to disable ranges already defined.
hhai.ipr, Cada regla puede controlar hasta ocho rangos de direcciones de IP WAN. La casilla de verificación de cada rango IP permite deshabilitar rangos ya definidos.
#From: hhai.ip,The starting and ending IP addresses are WAN-side address.
hhai.ip, Las direcciones IP inicio y final son direcciones del lado WAN.
#From: hhai.edit,Click the <strong>Edit</strong> icon in the Rules List to change a rule.
hhai.edit, Haga clic sobre el icono <strong>Modificar</strong> de la lista de reglas para cambiar una regla.
#From: hhai.delete,Click the <strong>Delete</strong> icon in the Rules List to permanently remove a rule.
hhai.delete, Haga clic sobre el icono <strong>Eliminar</strong> de la lista de reglas para eliminar una regla.
#From: .macaddr,MAC Address
.macaddr,Dirección MAC
#From: amaf.alert.1,'The "' + saved_records[i].mac_addr + '" MAC address is duplicate.'
amaf.alert.1, 'La dirección MAC "' + saved_records[i].mac_addr + '"está duplicada.'
#From: am.cMT.deny,Deny access to all except the machines in this list (subject to \"Filter Settings\"):
am.cMT.deny, Denegar el acceso a todos los ordenadores excepto a los de la lista (sujeto a \"Filter Settings\"):
#From: am.cMT.Allow,Allow access to all except the machines in this list (subject to \"Filter Settings\"):
am.cMT.Allow, Permitir el acceso a todos los ordenadores excepto a los de la lista (sujeto a \"Filter Settings\"):
#From: .macfilt,MAC Address Filter
.macfilt,Filtro de dirección MAC
#From: am.intro.1,The MAC (Media Access Controller) Address filter option is used to control network access based on the MAC Address of the network adapter. A MAC address is a unique ID assigned by the manufacturer of the network adapter. This feature can be configured to ALLOW or DENY network/Internet access.
am.intro.1, La opción de filtro de la dirección MAC se usa para controlar el acceso a red basado en la dirección MAC del adaptador de red. Una dirección MAC es un ID único asignado por el fabricante del adaptador de red. Esta característica puede ser configurada para PERMITIR o DENEGAR el acceso a la red o a internet.
#From: am.MACFILT,MAC Filtering Rules
am.MACFILT, Reglas de filtrado MAC
#From: am.intro,Configure MAC Filtering below:
am.intro, Configure el filtrado MAC:
#From: am.FM.2,Turn MAC Filtering OFF
am.FM.2, Desactive el filtrado MAC:
#From: am.FM.3,Turn MAC Filtering ON and ALLOW computers listed to access the network
am.FM.3, Active el filtrado MAC y PERMITA el acceso a la red a los ordenadores que figuran en la lista
#From: am.FM.4,Turn MAC Filtering ON and DENY computers listed to access the network
am.FM.4, Active el filtrado MAC y DENIEGUE el acceso a la red a los ordenadores que figuran en la lista
#From: bd.DHCP,DHCP Client List
bd.DHCP, Lista de clientes DHCP
#From: hham.intro,Create a list of MAC addresses that you would either like to allow or deny access to your network.
hham.intro, Cree una lista de direcciones MAC a las que quiera permitir o denegar el acceso a su red
#From: hham.add,Computers that have obtained an IP address from the router's DHCP server will be in the DHCP Client List. Select a device from the drop down menu, then click the arrow to add that device's MAC address to the list.
hham.add, Los ordenadores que han obtenido una dirección IP del servidor DHCP del router figurarán en la lista de clientes DHCP. Seleccione un dispositivo de los del menú desplegable y haga clic sobre la flecha para añadir la dirección MAC de aquel dispositivo a la lista
#From: hham.del,Click the <strong>Clear</strong> button to remove the MAC address from the MAC Filtering list.
hham.del, Haga clic sobre el botón<strong>Borrar</strong> para eliminar la dirección MAC de la lista de filtrado MAC.
#From: anet.intro,If you are not familiar with these Advanced Network settings, please read the help section before attempting to modify these settings.
anet.intro, Si no está familiarizado con los parámetros inalámbricos avanzados, por favor lea la sección de ayuda antes de modificar estos parámetros.
#From: ta.upnp,UPnP
ta.upnp,UPnP
#From: anet.msg.upnp,Universal Plug and Play (UPnP) supports peer-to-peer Plug and Play functionality for network devices.
anet.msg.upnp, UPnP (Universal Plug and Play) admite la funcionalidad plug and play peer-to-peer para los dispositivos de la red.
#From: ta.EUPNP,Enable UPnP
ta.EUPNP, Habilitar UPnP
#From: anet.wan.ping,WAN Ping
anet.wan.ping, Ping WAN
#From: anet.msg.wan.ping,If you enable this feature, the WAN port of your router will respond to ping requests from the Internet that are sent to the WAN IP Address.
anet.msg.wan.ping, Si activa esta característica, el puerto WAN de su router responderá a las solicitudes ping desde Internet que se hayan enviado a a la dirección IP WAN.
#From: bwn.RPing,Enable WAN Ping Respond
bwn.RPing, Habilitar respuesta ping de WAN
#From: anet.wan.phyrate,WAN Port Speed
anet.wan.phyrate, Velocidad de puerto WAN
#From: anet.wp.0,10Mbps
anet.wp.0,10Mbps
#From: anet.wp.1,100Mbps
anet.wp.1,100Mbps
#From: anet.multicast,Multicast Streams
anet.multicast, Multicast Streams
#From: anet.multicast.enable,Enable Multicast Streams
anet.multicast.enable, Habilitar Multicast Streams
#From: hhan.upnp,UPnP helps other UPnP LAN hosts interoperate with the router. Leave the UPnP option enabled as long as the LAN has other UPnP applications.
hhan.upnp, UPnP ayuda a otros hosts UPnP de la LAN a interoperar con el router. Deje la opción UPnP habilitada mientras la LAN tiene otras aplicaciones UPnP
#From: hhan.ping,For added security, it is recommended that you disable the WAN Ping Respond option. Ping is often used by malicious Internet users to locate active networks or PCs.
hhan.ping, Para mayor seguridad, se recomienda que deshabilite la opción de respuesta de ping WAN. A menudo usuarios maliciosos de internet usan los ping para localizar redes o PC activos.
#From: hhan.wans,The WAN speed is usually detected automatically. If you are having problems connecting to the WAN, try selecting the speed manually.
hhan.wans, La velocidad WAN suele detectarse de forma automática. Si usted está teniendo problemas para conectarse a la WAN, seleccione la velocidad manualmente.
#From: hhan.mc,If you are having trouble receiving multicast streams from the Internet, make sure the Multicast Streams option is enabled.
hhan.mc, Si usted está teniendo problema al recibir los multicast streams desde Internet, asegúrese de que la opción de Multicast Streams está habilitada.
#From: .routing,Routing
.routing, Enrutamiento
#From: .sr.nriy,No routes information yet.
.sr.nriy, Sin información de rutas
#From: .destip,Destination IP
.destip, IP de destino
#From: .netmask,Netmask
.netmask,Máscara de red
#From: .gateway,Gateway
.gateway,Puerta de enlace
#From: .metric,Metric
.metric, Métrico
#From: .interface,Interface
.interface,Interfaz
#From: .creator,Creator
.creator, Creador
#From: ar.alert.1,This internal route is already used
ar.alert.1, Esta ruta internal ya se usa
#From: ar.alert.2,This Route is already Present
ar.alert.2, Esta ruta ya existe
#From: ar.alert.3,Metric value should be in between (1..16).
ar.alert.3, El valor métrico debe estar comprendido entre1 y 16
#From: ar.alert.4,Next Hop not on the specified interface
ar.alert.4, El siguiente salto no está en la interfaz especificada
#From: ar.alert.5,Invalid Netmask.
ar.alert.5, Máscara de red no válida
#From: ar.RoutI,The Routing option allows you to define fixed routes to defined destinations.
ar.RoutI, La opción de enrutamiento le permite definir rutas fijas a destinos definidos
#From: ar.Route,Route
ar.Route, Ruta
#From: .WAN,WAN
.WAN,WAN
#From: .LAN,LAN
.LAN,LAN
#From: ar.RoutesList,Routes List
ar.RoutesList, Lista de rutas
#From: .delete,Delete
.delete,Eliminar
#From: ar.ERTable,Existing routes
ar.ERTable, Rutas existentes
#From: .both,Both
.both,Ambos
#From: ag.inuse,This Rule is already used
ag.inuse,Ya se ha utilizado esta regla
#From: .specapps.alert.2,'Trigger port range '+protocols[ae.thearray[-1].trigger_ports.protocol]+' ['+ae.thearray[-1].trigger_ports.port_range+'] conflicts with '+saved_records[i].entry_name+':'+protocols[saved_records[i].trigger_ports.protocol]+' ['+saved_records[i].trigger_ports.port_range+']'
.specapps.alert.2, 'El rango de puerto trigger '+protocols[ae.thearray[-1].trigger_ports.protocol]+' ['+ae.thearray[-1].trigger_ports.port_range+'] está en conflicto con '+saved_records[i].entry_name+':'+protocols[saved_records[i].trigger_ports.protocol]+' ['+saved_records[i].trigger_ports.port_range+']'
#From: .specapps.tpr,Trigger port range
.specapps.tpr, Rango de puerto trigger
#From: .specapps.ipr,Input port range
.specapps.ipr, Entrar rango de puerto
#From: as.intro.SA,This option is used to open single or multiple ports on your router when the router senses data sent to the Internet on a "trigger" port or port range. Special Applications rules apply to all computers on your internal network.
as.intro.SA, Esta opción se usa para abrir un puerto o varios de su router cuando el router detecta el envío de datos a Internet en un puerto trigger o rango de puerto. Las reglas de aplicaciones especiales se aplican a todos los ordenadores de su red interna.
#From: as.title.SAR,Special Applications Rule
as.title.SAR, Reglas de aplicaciones especiales
#From: as.TPRange,Trigger Port Range
as.TPRange, Rango de puerto trigger
#From: as.ex,ex.
as.ex,ex.
#From: as.TPR,Trigger Protocol
as.TPR, Protocolo trigger
#From: as.IPR,Input Port Range
as.IPR, Entrar rango de puerto
#From: as.IPrt,Input Protocol
as.IPrt, Entrar protocolo
#From: sps.port,Port
sps.port,Puerto
#From: av.traftype,Traffic Type
av.traftype, Tipo de tráfico
#From: .app,Application
.app, Aplicación
#From: .trigger,Trigger
.trigger,Desencadenador
#From: .firewall,Firewall
.firewall,Cortafuegos
#From: hhpt.intro,Use this feature if you are trying to execute one of the listed network applications and it is not communicating as expected.
hhpt.intro, Use esta característica si intenta ejecutar una de las aplicaciones de red de la lista y no se realiza la comunicación como es de esperar.
#From: hhpt.app,Check the <strong>Application Name</strong> drop down menu for a list of predefined applications. If you select one of the predefined applications, click the arrow button next to the drop down menu to fill out the corresponding field.
hhpt.app, Compruebe en el menú desplegable <strong> Nombre de la aplicación </strong> la lista de las aplicaciones predefinidas. Si escoge una de las aplicaciones predefinidas, haga clic en el botón de flecha junto al menú desplegable para completar el campo correspondiente
#From: at.NEst,Not Estimated
at.NEst,No estimado
#From: at.AC,Automatic Classification
at.AC, Clasificación automática
#From: at.DF,Dynamic Fragmentation
at.DF,Fragmentación dinámica
#From: at.AUS,Automatic Uplink Speed
at.AUS,Velocidad de subida automática
#From: at.MUS,Measured Uplink Speed
at.MUS,Velocidad de subida medida
#From: at.kbps,kbps
at.kbps,kbps
#From: at.UpSp,Manual Uplink Speed
at.UpSp, Velocidad de uplink manual
#From: at.STR,Select Transmission Rate
at.STR,Seleccionar velocidad de transmisión
#From: .contype,Connection Type
.contype,Tipo de conexión
#From: at.Auto,Auto-detect
at.Auto,Detección automática
#From: at.xDSL,xDSL Or Other Frame Relay Network
at.xDSL,xDSL u otra red Frame Relay
#From: at.Cable,Cable Or Other Broadband Network
at.Cable,Cable u otra red de banda ancha
#From: .priority,Priority
.priority, Prioridad
#From: .to,to
.to,a
#From: .srcport,Source Port Range
.srcport, Rango de puerto origen.
#From: at.DIPR,Destination IP Range
at.DIPR, Rango de IP destino
#From: at.DPR,Destination Port Range
at.DPR, Rango de puerto destino.
#From: hhase.intro,If the <strong>Measured Uplink Speed</strong> is known to be incorrect (that is, it produces suboptimal performance), disable <strong>Automatic Uplink Speed</strong> and enter the <strong>Manual Uplink Speed</strong>. Some experimentation and performance measurement may be required to converge on the optimal value.
hhase.intro, Si <strong>la velocidad de uplink medida </strong> es incorrecta (es decir, el rendimiento es inferior al óptimo), desactive <strong>velocidad de uplink automática</strong> y escriba la <strong> velocidad de uplink automática </strong>. Para lograr el valor más adecuado, puede ser necesaria cierta experimentación o rendimiento.
#From: av.alert.11,"The record '" + data.virtual_servers[i].entry_name + "' is duplicated."
av.alert.11, "El registro '"+ data.virtual_servers[i].entry_name + "' está duplicado."
#From: av.alert.1,"IP address for '" + data.virtual_servers[i].entry_name + "' should be within LAN subnet ("+lan_subnet+")"
av.alert.1, "La dirección IP para '"+ data.virtual_servers[i].entry_name + "' debe estar dentro de la subred de la LAN ("+lan_subnet+")"
#From: av.alert.2,"IP address for '" + data.virtual_servers[i].entry_name + "' is not allowed"
av.alert.2, "La dirección IP para '"+ data.virtual_servers[i].entry_name + "' no está permitida"
#From: av.alert.3,"Private port for '" + data.virtual_servers[i].entry_name + "' should be in range (1..65535)"
av.alert.3, "Puerto privado para '"+ data.virtual_servers[i].entry_name + "' debe estar dentro de (1..65535)"
#From: av.alert.4,"Public port for '" + data.virtual_servers[i].entry_name + "' should be in range (1..65535)"
av.alert.4, "Puerto público para '"+ data.virtual_servers[i].entry_name + "' debe estar dentro de (1..65535)"
#From: av.alert.12,"Public port should not be same as Remote Management Port"
av.alert.12, "El puerto público no debe ser el mismo que el puerto de gestión remota"
#From: av.alert.18,"Cannot create an entry for ICMP (protocol 1) as this will prevent the router from working correctly"
av.alert.18, "No se puede crear una entrada para ICMP ( protoco 1 ) porque ésta impedirá que el router funcione correctamente "
#From: av.alert.19,"Please select TCP instead of protocol 6 and specify port details"
av.alert.19, "Por favor escoja TCP en lugar de protocolo 6 y especifique los detalles del puerto"
#From: av.alert.20,"Please select UDP instead of protocol 17 and specify port details"
av.alert.20, "Por favor escoja UDP en lugar de protocolo 17 y especifique los detalles del puerto"
#From: av.alert.13,"Other protocol for '" + data.virtual_servers[i].entry_name + "' should be in range (2..5, 7..16 or 18..255)"
av.alert.13, "Otro protocolo para  '"+ data.virtual_servers[i].entry_name + "' debe estar dentro de ( 2..5,7..16 o 18..255 ) "
#From: av.alert.17,"Protocol for '" + data.virtual_servers[i].entry_name + "' is overlapped with '" + data.virtual_servers[j].entry_name+"'"
av.alert.17, "Protocolo para '"+ data.virtual_servers[i].entry_name + "' se solapa con '"+ data.virtual_servers[j].entry_name+"'"
#From: av.alert.5,"Ports for '" + data.virtual_servers[i].entry_name + "' are overlapped with '" + data.virtual_servers[j].entry_name+"'"
av.alert.5, "Puertos para '"+ data.virtual_servers[i].entry_name + "' se solapan con '"+ data.virtual_servers[j].entry_name+"'"
#From: av.alert.6,"Private Port for '" + data.virtual_servers[i].entry_name + "' conflicts with '" + data.virtual_servers[j].entry_name+"'"
av.alert.6, "Puerto Privado para '"+ data.virtual_servers[i].entry_name + "' está en conflicto con '"+ data.virtual_servers[j].entry_name+"'"
#From: av.alert.7,FTP ALG has been enabled
av.alert.7, FTP ALG ha sido activado
#From: av.alert.8,PPTP ALG has been enabled
av.alert.8, PPTP ALG ha sido activado
#From: av.alert.9,Wake-On-LAN ALG has been enabled
av.alert.9, Wake-On-LAN ALG ha sido activado
#From: av.alert.10,H.323 ALG has been enabled
av.alert.10, H.323 ALG ha sido activado
#From: av.intro.vs,The Virtual Server option allows you to define a single public port on your router for redirection to an internal LAN IP Address and Private LAN port if required. This feature is useful for hosting online services such as FTP or Web Servers.
av.intro.vs, La opción de servidor virtual le permite definir un puerto público de su router para el redireccionamiento a una dirección IP de la LAN interna y al puerto privado de la LAN, si se requiere. Esta característica es útil para alojar servicios en línea, como FTP o servidores eeb.
#From: av.title.VSL,Virtual Servers List
av.title.VSL,Lista de servidores virtuales
#From: .public,Public
.public,Público
#From: .other,Other
.other, Otro
#From: .private,Private
.private, Privado
#From: hhav.name,Check the <strong>Application Name</strong> drop down menu for a list of predefined server types. If you select one of the predefined server types, click the arrow button next to the drop down menu to fill out the corresponding field.
hhav.name, Compruebe en el menú desplegable <strong>Nombre de aplicación</strong> la una lista de tipos de servidor predefinidos. Si escoge uno de los tipos de servidor predefinidos, haga clic sobre el botón de flecha junto al menú desplegable para rellenar el campo correspondiente.
#From: hhav.ip,You can select a computer from the list of DHCP clients in the <strong>Computer Name</strong> drop down menu, or you can manually enter the IP address of the computer at which you would like to open the specified port.
hhav.ip, Puede seleccionar un ordenador de la lista de clientes DHCP en el menú desplegable <strong>Nombre de ordenador</strong>, o puede entrar manualmente la dirección IP del ordenador al que quiere abrir el puerto especificado.
#From: aa.WebSite,Web Site
aa.WebSite,Sitio Web
#From: awf.alert.4,https is not a supported protocol.
awf.alert.4, https no es un protocolo admitido.
#From: awf.alert.5,The web site address "' + data.web_filter[i].url + '" already used.
awf.alert.5, La dirección de sitio web "' + data.web_filter[i].url + '"ya está en uso.
#From: awf.alert.7,The web site addresses: "' + invalid_wf_str + '" are invalid.
awf.alert.7, Las direcciones de sitio web: "' + invalid_wf_str + '"noson válidas.
#From: awf.alert.8,'The web site address: "' + invalid_wf_str + '" is invalid.'
awf.alert.8, 'La dirección de sitio web: "' + invalid_wf_str + '"no es válida.'
#From: awf.intro.WF,The Web Filter option allows you to set up a list of allowed Web sites that can be used by multiple users. When Web Filter is enabled, all Web sites not listed on this page will be blocked. To use this feature, you must also select the "Apply Web Filter" checkbox in the Access Control section.
awf.intro.WF, La opción de filtro web le permite configurar una lista de los sitios web autorizados, que puede ser usada por varios usuarios. Cuando se habilita el filtro web, se bloquean todos los sitos web que no figuran en la lista. Para usar esta característica, debe seleccionar la casilla de verificación "Aplicar filtro web"en la sección de control de acceso.
#From: awf.title.WSFR,Website Filtering Rules
awf.title.WSFR, Reglas de filtro de sitio web
#From: awf.clearlist,Clear the list below...
awf.clearlist, Quitar la lista de abajo??
#From: hhwf.intro,Create a list of Web sites to which you would like to allow access from the devices on your network.
hhwf.intro, Cree una lista de sitios web a los que querría permitir el acceso de los dispositivos de su red.
#From: help569,Internet
help569,Internet
#From: .wirelesst,Wireless Settings
.wirelesst,Configuración inalámbrica
#From: bln.title.NetSt,Network Settings
bln.title.NetSt, Parámetros de red
#From: .internetc,Internet Connection
.internetc, Conexión a internet
#From: int.intro,There are two ways to set up your Internet connection: you can use the Web-based Internet Connection Setup Wizard, or you can manually configure the connection.
int.intro, Hay dos formas de configurar su conexión a internet: puede usar el asistente de conexión a internet basado en web, o puede configurar manualmente la conexión.
#From: int.ConWz2,Internet Connection Wizard
int.ConWz2, Asistente de conexión a internet
#From: int.intro.ConWz,If you would like to utilize our easy to use Web-based Wizards to assist you in connecting your new D-Link Systems Router to the Internet, as well as configure the Wireless settings, click on the Setup Wizard button below.
int.intro.ConWz, Si desea utilizar nuestros sencillos asistentes basados en web para que le ayude en la conexión de su nuevo router D-Link Systems a internet, así como configurar los parámetros inalámbricos, haga clic en el botón del asistente de configuración que figura abajo.
#From: wwa.setupwiz,Setup Wizard
wwa.setupwiz,Asistente para la configuración
#From: .note,Note
.note,Nota
#From: bwz.note.ConWz,Before launching these wizards, please make sure you have followed all steps outlined in the Quick Installation Guide included in the package.
bwz.note.ConWz, Antes de ejecutar estos asistentes, asegúrese de que ha seguido todos los pasos presentados en la guía de instalación rápida incluida en el paquete.
#From: int.WlsWz,Manual Internet Connection Options
int.WlsWz, Opciones de conexión manual a internet
#From: int.intro.WlsWz,If you would like to configure the Internet settings of your new D-Link Systems Router manually, then click on the Manual Configure button below.
int.intro.WlsWz, Si desea configurar los parámetros de internet de su nuevo router D-Link Systems manualmente, haga clic en el botón de Configuración manual.
#From: int.LWlsWz,Manual Configure
int.LWlsWz, Configuración manual
#From: hhbi.wiz,If you are new to networking and have never configured a router before, click on <strong>Setup Wizard</strong> and the router will guide you through a few simple steps to get your network up and running.
hhbi.wiz, Si usted no conoce bien la red y nunca ha configurado un router antes, haga clic en <strong>Asistente de configuración</strong> y el router le guiará por los sencillos pasos que le permitirán tener su red a punto y funcionando.
#From: hhbi.man,If you consider yourself an advanced user and have configured a router before, click <strong>Manual Configure</strong> to input all the settings manually.
hhbi.man, Si usted se considera un usuario avanzado y ha configurado un router antes, haga clic en <strong> Configuración manual </strong> para entrar todos los parámetros manualmente.
#From: bd.noneyet,No dynamic clients detected yet.
bd.noneyet,Todavía no se han detectado clientes dinámicos.
#From: 223,Expire Time
223,Tiempo caducado
#From: bd.Revoke,Revoke
bd.Revoke, Revocar
#From: bd.Reserve,Reserve
bd.Reserve, Reservar
#From: bd.revoked,The lease has been revoked
bd.revoked, El arrendamiento se ha revocado
#From: bln.alert.1,Invalid LAN subnet mask.
bln.alert.1, Máscara de subred LAN no válida
#From: bln.alert.3,LAN subnet conflicts with WAN subnet
bln.alert.3,La subred LAN entra en conflicto con la subred WAN
#From: bd.alert.10,"The DHCP address range FROM is not in the LAN subnet."
bd.alert.10, "El DESDE del rango de dirección DHCP no está en la subred de la LAN."
#From: bd.alert.11,"The DHCP address range TO is not in the LAN subnet."
bd.alert.11, "El HASTA del rango de dirección DHCP no está en la subred de la LAN."
#From: bd.alert.1,"The DHCP FROM address does not contain a valid host starting value."
bd.alert.1, "El DESDE de la dirección DHCP no contiene un valor de inicio de host válido."
#From: bd.alert.3,The DHCP address range should go from a low address to a high address, not high to low
bd.alert.3,El intervalo de direcciones DHCP debe ir desde una dirección baja a una dirección superior, no al revés
#From: bd.alert.13,The DHCP address range must not include the subnet broadcast address.
bd.alert.13, El rango de dirección DHCP no debe incluir la dirección de broadcast de subred.
#From: bd.alert.12,The number of IP addresses in the range exceeds a limit of 256.
bd.alert.12, El número de direcciones IP en el rango excede el límite de 256.
#From: bd.alert.5,DHCP Lease Time can not be 0
bd.alert.5, El tiempo de validez de DHCP no puede ser 0
#From: bd.alert.6,"Reserved IP address for this MAC address ("+ae.thearray[-1].mac_addr+") is already set"
bd.alert.6,"La dirección IP reservada para esta dirección MAC ("+ae.thearray[-1].mac_addr+") ya está asignada"
#From: bd.alert.7,"Reserved IP address for this Computer Name ("+ae.thearray[-1].comp_name+") is already set"
bd.alert.7,"La dirección IP reservada para este nombre de ordenador ("+ae.thearray[-1].comp_name+") ya está fijada"
#From: bd.alert.8,"Reserved IP address should be within the configured DHCP range."
bd.alert.8, "La dirección IP reservada ha de estar dentro del rango DHCP configurado"
#From: ns.intro.,Use this section to configure the internal network settings of your router and also to configure the built-in DHCP Server to assign IP addresses to the computers on your network. The IP Address that is configured here is the IP Address that you use to access the Web-based management interface. If you change the IP Address here, you may need to adjust your PC's network settings to access the network again.
ns.intro., Use esta sección para configurar los parámetros de red internos de su router y también para configurar el servidor DHCP incorporado para asignar las direcciones IP a los ordenadores de su red. La dirección IP que está configurada aquí es la dirección IP que usa para acceder la interfaz de gestión basada en web. Si cambia la dirección IP aquí, puede tener que ajustar la red de su PC para acceder a la red de nuevo.
#From: bln.title.Rtrset,Router Settings
bln.title.Rtrset, Parámetros del router
#From: .ripaddr,Router IP Address
.ripaddr, Dirección IP del router
#From: .subnet,Subnet Mask
.subnet,SuMáscara de subred
#From: 262,Local Domain Name
262,Nombre de dominio local
#From: bln.EnDNSRelay,Enable DNS Relay
bln.EnDNSRelay, Habilitar relé DNS
#From: bd.title.DHCPSSt,DHCP Server Settings
bd.title.DHCPSSt, Parámetros del servidor DHCP
#From: bd.intro.,Use this section to configure the built-in DHCP Server to assign IP addresses to the computers on your network.
bd.intro., Use esta sección para configurar el servidor DHCP integrado a fin de que asigne las direcciones IP a los ordenadores de su red.
#From: bd.EDSv,Enable DHCP Server
bd.EDSv, Habilitar el servidor DHCP
#From: bd.DIPAR,DHCP IP Address Range
bd.DIPAR,Intervalo de direcciones IP de DHCP
#From: bd.DLT,DHCP Lease Time
bd.DLT, Tiempo de validez de DHCP
#From: .minutes,(minutes)
.minutes, (minutos)
#From: bd.DAB,Always broadcast
bd.DAB, Broadcast siempre
#From: bd.DAB.note,(compatibility for some DHCP Clients)
bd.DAB.note, (compatibilidad para ciertos clientes DHCP)
#From: bd.title.SDC,DHCP Reservation
bd.title.SDC, Reserva DHCP
#From: bd.title.list,DHCP Reservations List
bd.title.list,Lista de Reservas DHCP
#From: bd.title.clients,Number of Dynamic DHCP Clients
bd.title.clients, Número de clientes dinámicos DHCP
#From: bd.alert.23,Invalid Primary dns IP address
bd.alert.23, Dirección IP de DNS primario no válida
#From: bd.alert.24,Invalid Secondary dns IP address
bd.alert.24, Dirección IP de DNS secundario no válido
#From: .badWANIP,Invalid WAN IP address
.badWANIP,Dirección IP de la WAN no válida
#From: bwn.alert.2,Invalid WAN subnet mask
bwn.alert.2,Máscara de subred de la WAN no válida
#From: bwn.alert.3,The default gateway address is not in the WAN subnet
bwn.alert.3, La dirección de gateway por defecto no está en la subred de la WAN
#From: bwn.alert.4,DNS are not configured. The clients will not be able to resolve domain names. Proceed ?
bwn.alert.4,El DNS no está configurado. Los clientes no podrán resolver los nombres de dominio. Proceed ?
#From: bwn.alert.5,WAN subnet conflicts with LAN subnet
bwn.alert.5,La subred WAN entra en conflicto con la subred LAN
#From: .pwsame,Please make the two passwords the same and try again
.pwsame,Haga que las dos contraseñas coincidan y vuelva a intentarlo
#From: .nousername,Please enter a user name and try again
.nousername, Por favor entre un nombre de usuario y vuelva a probarlo
#From: bwn.alert.8,The maximum idle time should be in the range 0..600
bwn.alert.8,El tiempo máximo de inactividad debe estar en el intervalo 0..600
#From: bwn.alert.12,Invalid PPPoE IP address
bwn.alert.12, Dirección IP PPPoE no válida
#From: .badPPTPip,Invalid PPTP IP address
.badPPTPip, Dirección IP PPTP no válida
#From: .badPPTPsub,Invalid PPTP subnet mask
.badPPTPsub, Máscara de subred PPTP no válida
#From: .badPPTPipsub,The PPTP gateway IP address is not in the PPTP subnet
.badPPTPipsub, La dirección IP de gateway PPTP no está en la subred PPTP
#From: bwn.alert.11,Invalid PPTP Server IP address
bwn.alert.11, Dirección IP del servidor PPTP no válida
#From: .badL2TP3,Invalid L2TP address
.badL2TP3, Dirección L2TP no válida
#From: .badL2TP,Invalid L2TP subnet mask
.badL2TP, Máscara de subred L2TP no válida
#From: .badL2TP2,The L2TP gateway IP address is not in the L2TP subnet
.badL2TP2, La dirección IP de gateway L2TP no está en la subred de L2TP
#From: bwn.alert.17,Invalid L2TP Server IP address
bwn.alert.17, Dirección IP del Servidor L2TP no válida
#From: bwn.alert.21,The MTU should be in the range 128..30000
bwn.alert.21,El MTU debe pertenecer al intervalo 128..30000
#From: bwn.intro.ICS,Use this section to configure your Internet Connection type. There are several connection types to choose from: Static IP, DHCP, PPPoE, PPTP and L2TP. If you are unsure of your connection method, please contact your Internet Service Provider.
bwn.intro.ICS, Use esta sección para configurar su tipo de conexión a internet. Existen varios tipos de conexión para escoger de: IP estática, DHCP, PPPoE, PPTP y  L2TP. Si no sabe con certeza cuál es el tipo de su conexión, contacte con su proveedor de servicios internet.
#From: bwn.note.clientSW,If using the PPPoE option, you will need to remove or disable any PPPoE client software on your computers.
bwn.note.clientSW, Si está usando la opción PPPoE, necesitará quitar o deshabilitar cualquier software de cliente PPPoE de sus ordenadores
#From: bwn.ict,Internet Connection Type
bwn.ict, Tipo de conexión a internet
#From: bwn.msg.Modes,Choose the mode to be used by the router to connect to the Internet.
bwn.msg.Modes, Escoja el modo que usará el router para conectarse a internet.
#From: bwn.mici,My Internet Connection is
bwn.mici, Mi conexión a internet es
#From: .sdi.staticip,Static IP
.sdi.staticip,IP estática
#From: bwn.Mode.DHCP,Dynamic IP (DHCP)
bwn.Mode.DHCP, IP dinámica (DHCP)
#From: bwn.Mode.PPPoE,PPPoE (Username / Password)
bwn.Mode.PPPoE, PPPoE (nombre de usuario/clave de acceso)
#From: bwn.Mode.PPTP,PPTP (Username / Password)
bwn.Mode.PPTP, PPTP (nombre de usuario/clave de acceso)
#From: bwn.Mode.L2TP,L2TP (Username / Password)
bwn.Mode.L2TP, L2TP (nombre de usuario/clave de acceso)
#From: bwn.Mode.BigPond,BigPond (Australia)
bwn.Mode.BigPond, BigPond (Australia)
#From: bwn.SIAICT,Static IP Address Internet Connection Type
bwn.SIAICT, Tipo de conexión a internet con dirección IP estática
#From: bwn.DIAICT,Dynamic IP (DHCP) Internet Connection Type
bwn.DIAICT, Tipo de conexión a internet con IP dinámica (DHCP)
