
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
help149, La sezione del filtro dell??indirizzo MAC può essere usata per filtrare l'accesso alla rete dalle macchine basate sugli indirizzi unici del MAC del loro adattatore (i) della rete.
#From: help150,It is most useful to prevent unauthorized wireless devices from connecting to your network.
help150, ? il più utile impedire il collegamento alla rete ai dispositivi senza fili non autorizzati.
#From: help151,A MAC address is a unique ID assigned by the manufacturer of the network adapter.
help151, Un indirizzo MAC è un'identificazione unica assegnata dal fornitore dell'adattatore della rete.
#From: am.intro.2,Configure MAC Filtering
am.intro.2, Configurare il filtro dell??indirizzo MAC.
#From: help161.2,Enter the MAC address of the desired.
help161.2, Inserire l??indirizzo MAC desiderato
#From: ham.del,Click the <span class="button_ref">Clear</span> button to remove the MAC address from the MAC Filtering list.
ham.del, Cliccare il tasto <span class="button_ref">Cancella</span> per rimuovere l??indirizzo MAC dalla lista di filtrazione del MAC.
#From: haf.intro.1,The router provides a tight firewall by virtue of the way NAT works. Unless you configure the router to the contrary, the NAT does not respond to unsolicited incoming requests on any port, thereby making your LAN invisible to Internet cyberattackers. However, some network applications cannot run with a tight firewall. Those applications need to selectively open ports in the firewall to function correctly. The options on this page control several ways of opening the firewall to address the needs of specific types of applications.
haf.intro.1, Il router fornisce una funzione Firewall che lavora con il NAT. A meno che configuriate il router al contrario, il NAT non risponde alle richieste ricevute non richeste su alcuna porta, quindi rendendo la vostra LAN invisibile ai cyberattackers del Internet. Tuttavia, alcune applicazioni della rete non possono funzionare con un firewall. Quelle applicazioni devono aprire selettivamente le porte nel firewall per funzionare correttamente. Le opzioni di questa pagina gestiscono parecchi modi di apertura delle porte del firewall per rispondere ai bisogni specifici delle applicazioni.
#From: help164.1,When the protocol is TCP, SPI checks that packet sequence numbers are within the valid range for the session, discarding those packets that do not have valid sequence numbers.
help164.1, Quando il protocollo è TCP, SPI controlla che i numeri progressivi del pacchetto siano all'interno del range valido per la sessione, scartando quei pacchetti che non hanno numeri progressivi validi.
#From: help164.2,Whether SPI is enabled or not, the router always tracks TCP connection states and ensures that each TCP packet's flags are valid for the current state.
help164.2, Se SPI è permesso o non, il router rintraccia sempre il collegamento di TCP  e si accerta che gli indicatori di ogni pacchetto di TCP siano validi per lo stato corrente.
#From: haf.dmz.10,When a LAN host is configured as a DMZ host, it becomes the destination for all incoming packets that do not match some other incoming session or rule. If any other ingress rule is in place, that will be used instead of sending packets to the DMZ host; so, an active session, virtual server, active port trigger, or port forwarding rule will take priority over sending a packet to the DMZ host. (The DMZ policy resembles a default port forwarding rule that forwards every port that is not specifically sent anywhere else.)
haf.dmz.10, Quando un computer della rete è configurato come un host DMZ, si transforma nella destinazione per tutti i pacchetti ricevuti che non abbiano una certa altra sessione o regola ricevuta. Se qualunque altra regola é impostata, sar? usata invece di trasmettere dei pacchetti al calcolatore centrale di DMZ; così, una sessione attiva, una regola Virtual Server, porta trigger attiva, o port forwarding prender? la priorit? sulla trasmissione del pacchetto al calcolatore centrale di DMZ. (la politica di DMZ assomiglia ad una regola di port forwarding preimpostata che rigira ogni porta che non è trasmessa specificatamente in qualsiasi altro luogo.)
#From: haf.dmz.20,The router provides only limited firewall protection for the DMZ host. The router does not forward a TCP packet that does not match an active DMZ session, unless it is a connection establishment packet (SYN). Except for this limited protection, the DMZ host is effectively "outside the firewall". Anyone considering using a DMZ host should also consider running a firewall on that DMZ host system to provide additional protection.
haf.dmz.20, Il router assicura soltanto la protezione limitata del firewall per il calcolatore centrale di DMZ. Il router non spedisce un pacchetto di TCP che non abbini una sessione attiva di DMZ, a meno che sia un pacchetto di connessione stabilito (SYN). Tranne questa protezione limitata il calcolatore centrale di DMZ è efficacemente "fuori dal firewall". Chiunque considera la possibilit? utilizzare un host DMZ deve inoltre considerare che il firewall lavora sul sistema dell??host DMZ per fornire maggiore protezione.
#From: haf.dmz.30,Packets received by the DMZ host have their IP addresses translated from the WAN-side IP address of the router to the LAN-side IP address of the DMZ host. However, port numbers are not translated; so applications on the DMZ host can depend on specific port numbers.
haf.dmz.30, I pacchetti ricevuti dall??host DMZ hanno i loro indirizzi IP tradotti dal lato WAN del router al lato LAN  dell??host DMZ. Tuttavia, i numeri delle porte non sono rigirati; così le applicazioni sul computer centrale di DMZ possono dipendere da numeri di porte specifici.
#From: haf.dmz.40,The DMZ capability is just one of several means for allowing incoming requests that might appear unsolicited to the NAT. In general, the DMZ host should be used only if there are no other alternatives, because it is much more exposed to cyberattacks than any other system on the LAN. Thought should be given to using other configurations instead: a virtual server, a port forwarding rule, or a port trigger. Virtual servers open one port for incoming sessions bound for a specific application (and also allow port redirection and the use of ALGs). Port forwarding is rather like a selective DMZ, where incoming traffic targeted at one or more ports is forwarded to a specific LAN host (thereby not exposing as many ports as a DMZ host). Port triggering is a special form of port forwarding, which is activated by outgoing traffic, and for which ports are only forwarded while the trigger is active.
haf.dmz.40, La possibilit? di DMZ è solo  uno di parecchi metodi per permettere le richieste ricevute che potrebbero sembrare non richieste al NAT. In generale, il calcolatore centrale di DMZ dovrebbe essere utilizzato soltanto se non ci sono altre alternative, perché é molto più esposto ai cyberattacks rispetto a qualunque altro sistema sulla LAN. L??intenzione dovrebbe essere data usando altre configurazioni preferibilmente: un Virtual Server, una regola port forwarding, o un port trigger. I server virtuali aprono una porta per le sessioni ricevute limitate per un'applicazione specifica (ed inoltre permette la reinstradazione delle porte e l'uso di ALGs). Il Port Forwarding è piuttosto selettivo rispetto alla DMZ, dove il traffico ricevuto destinato ad una o più porte è spedito ad un calcolatore centrale specifico di LAN (quindi che non espone altrettante porte come un calcolatore centrale di DMZ). Il port triggering é un port forwarding special, che é attivato dal traffico in uscita, e solo per le porte che sono rigirate mentre il trigger é attivo.
#From: haf.dmz.50,Few applications truly require the use of the DMZ host. Following are examples of when a DMZ host might be required:
haf.dmz.50, Poche applicazioni richiedono veramente l'uso del calcolatore centrale di DMZ. Seguono esempi di quando un calcolatore centrale di DMZ potrebbe essere richiesto:
#From: haf.dmz.60,A host needs to support several applications that might use overlapping ingress ports such that two port forwarding rules cannot be used because they would potentially be in conflict.
haf.dmz.60, Un computer centrale deve sostenere parecchie applicazioni che potrebbero usare le porte sovrapposte all'ingresso e che due regole di port forwarding non possono essere usate perché potenzialmente sarebbero in conflitto.
#From: haf.dmz.70,To handle incoming connections that use a protocol other than ICMP, TCP, UDP, and IGMP (also GRE and ESP, when these protocols are enabled by the PPTP and IPSec ALGs ).
haf.dmz.70, Per maneggiare i collegamenti ricevuti che usano un protocollo tranne il ICMP UDP quando questi protocolli sono abilitati dal PPTP e dal IPSec ALGs).
#From: help166,Putting a computer in the DMZ may expose that computer to a variety of security risks. Use of this option is only recommended as a last resort.
help166,Collocare un computer nella DMZ significa esporlo a rischi per la protezione. Pertanto si consiglia di utilizzare questa opzione solo in casi estremi.
#From: help32,Here you can enable or disable ALGs. Some protocols and applications require special handling of the IP payload to make them work with network address translation (NAT). Each ALG provides special handling for a specific protocol or application. A number of ALGs for common applications are enabled by default.
help32, Qui potete abilitare o disabilitare ALGs. Alcuni protocolli ed applicazioni richiedono la manipolazione speciale del carico dell??IP  per farle lavorare attraverso il NAT . Ogni ALG fornisce la manipolazione speciale per un protocollo o un'applicazione specifica. Un certo numero di ALGs per le applicazioni comuni è abilitato come impostazioni di fabbrica..
#From: help33,Allows multiple machines on the LAN to connect to their corporate networks using PPTP protocol.
help33, Permette ad una serie di macchine sulla LAN  di collegarsi alle loro reti corporative usando il protocollo di PPTP.
#From: help34,Allows multiple VPN clients to connect to their corporate networks using IPSec. Some VPN clients support traversal of IPSec through NAT. This option may interfere with the operation of such VPN clients. If you are having trouble connecting with your corporate network, try disabling this option.
help34, Permette a diversi client VPN di collegarsi alle loro reti corporative usando IPSec. Clients di qualche VPN supportano l??IPSec  trasversale atraverso il NAT. Questa opzione può interferire con il funzionamento di tali clients VPN. Se avete difficolt? nel collegarvi alla vostra rete corporate, provate a disabilitare questa opzione.
#From: help35,Check with the system adminstrator of your corporate network whether your VPN client supports NAT traversal.
help35, Controllare con l??amministratore del sistema della vostra rete corporativa se il vostro cliente di VPN supporta il NAT traversal.
#From: help34b,Note that L2TP VPN connections typically use IPSec to secure the connection. To achieve multiple VPN pass-through in this case, the IPSec ALG must be enabled.
help34b, Si noti che i collegamenti di L2TP VPN usano tipicamente IPSec per assicurare il collegamento. Per realizzare il pass-through multiplo di VPN in questo caso l??IPSec ALG deve essere abilitato.
#From: help36,Allows applications that use Real Time Streaming Protocol to receive streaming media from the internet. QuickTime and Real Player are some of the common applications using this protocol.
help36, Permette alle applicazioni che usano il Protocollo Real Time Streaming per ricevere i media effluenti dal Internet. QuickTime ed il Real Player sono alcune delle applicazioni comuni utilizzando questo protocollo.
#From: help37,Supports use on LAN computers of Microsoft Windows Messenger (the Internet messaging client that ships with Microsoft Windows) and MSN Messenger. The SIP ALG must also be enabled when the Windows Messenger ALG is enabled.
help37, I supporti usati sui calcolatori nella LAN di Microsoft Windows Messenger (il client di messaggistica via Internet incluso nel sistema operativo Microsoft Windows) e del clinet MSN Messenger. Il SIP ALG deve anche essere abilitato quando il Windows Messenger ALG è abilitato.
#From: as.NM,H.323 (Netmeeting)
as.NM, H.323 (Netmeeting)
#From: help40,Allows devices and applications using VoIP (Voice over IP) to communicate across NAT. Some VoIP applications and devices have the ability to discover NAT devices and work around them. This ALG may interfere with the operation of such devices. If you are having trouble making VoIP calls, try turning this ALG off.
help40, Permette ai dispositivi e alle applicazioni che utilizzano il VoIP (Voice over IP) di comunicare attraverso NAT. Alcune applicazioni e dispositivi di VoIP hanno la capacit? di rilevare i dispositivi NAT e di funzionare intorno a loro. Questo ALG può interferire con il funzionamento di tali dispositivi. Se state avendo difficolt? nel fare le chiamate di VoIP, provare a disabilitare questo ALG.
#From: help43,Allows Windows Media Player, using MMS protocol, to receive streaming media from the internet.
help43, Abilita Windows Media Player, utilizzando il protocollo di MMS, per ricevere gli files in streaming da Internet
#From: help168a,When you use the Virtual Server, Port Forwarding, or Remote Administration features to open specific ports to traffic from the Internet, you could be increasing the exposure of your LAN to cyberattacks from the Internet.
help168a, Quando usate il Virtual Server, Port Forwarding, od Amministrazione Remota per aprire le porte specifiche per trafficare da Internet, potreste aumentare l'esposizione della vostra LAN ai cyberattacks da Internet.
#From: help168c,In these cases, you can use Inbound Filters to limit that exposure by specifying the IP addresses of internet hosts that you trust to access your LAN through the ports that you have opened. You might, for example, only allow access to a game server on your home LAN from the computers of friends whom you have invited to play the games on that server.
help168c, In questi casi, potete utilizzare i filtri Inbound per limitare l??esposizione specificando gli indirizzi IP dei calcolatori che possono accedere alla vostra LAN attraverso le porte che avete aperto. Potreste, per esempio, permettere soltanto l'accesso ad un server di gioco sulla vostra lan domestica dai computer degli amici quale avete invitato a giocare i giochi su quel server.
#From: help169,Inbound Filters can be used for limiting access to a server on your network to a system or group of systems. Filter rules can be used with Virtual Server, Gaming, or Remote Administration features. Each filter can be used for several functions; for example a "Game Clan" filter might allow all of the members of a particular gaming group to play several different games for which gaming entries have been created. At the same time an "Admin" filter might only allows systems from your office network to access the WAN admin pages and an FTP server you use at home. If you add an IP address to a filter, the change is effected in all of the places where the filter is used.
help169, I filtri inbound possono essere utilizzati per limitare l'accesso ad un server sulla vostra rete, ad un sistema o ad un gruppo di sistemi. Le regole del filtro possono essere usate con il Virtual Server, Giochi, o Amministrazione remota. Ogni filtro può essere utilizzato per parecchie funzioni; per esempio un filtro del ??Clan Game" potrebbe permettere che tutti i membri di un gruppo particolare di gioco di giocare difersi giochi per ogni entrata che è stata creata. Allo stesso tempo un Amministratore permette soltanto che i sistemi della vostra rete dell'ufficio accedano alle pagine di amministrazione della WAN e un FTP server utilizzato a casa. Se aggiungete un filtro per l??indirizzo IP, il cambiamento è effettuato in tutte le impostazioni in cui il filtro è utilizzato.
#From: help171,Here you can add entries to the Inbound Filter Rules List below, or edit existing entries.
help171, Qui potete aggiungere nuovi elementi alle regole inbound del filtro elencate qui sotto
#From: help172,Enter a name for the rule that is meaningful to you.
help172,Assegnare alla regola un nome significativo.
#From: help173,The rule can either Allow or Deny messages.
help173,La regola può sia consentire che bloccare i messaggi.
#From: help174,Define the ranges of Internet addresses this rule applies to. For a single IP address, enter the same address in both the <span class="option">Start</span> and <span class="option">End</span> boxes. Up to eight ranges can be entered. The <span class="option">Enable</span> checkbox allows you to turn on or off specific entries in the list of ranges.
help174, Definisca l??intervallo di indirizzi Internet alla quale questa regola si applica. Per un singolo indirizzo IP, fornisca lo stesso indirizzo in entrambi <span class="option">Avvio</span> e <span class="option">fine</span> caselle. Si possono inserire fino a otto  intervalli. <span class="option">Abilita</span> il checkbox permette di abilitare o disabilitare dei client specifici nella lista degli intervalli..
#From: help177,In addition to the filters listed here, two predefined filters are available wherever inbound filters can be applied:
help177, Oltre che i filtri elencati qui, due filtri predefiniti sono disponibili dovunque i filtri inbound possano essere applicati:
#From: help178,Permit any WAN user to access the related capability.
help178,Consente a un utente della WAN di accedere alle relative funzioni.
#From: help179,Prevent all WAN users from accessing the related capability. (LAN users are not affected by Inbound Filter Rules.)
help179, Impedisce a tutti gli utenti WAN di accedere. (Gli utenti di lan non sono influenzati dalle regole del Inbound Filter.)
#From: help187,Normally the wireless transmitter operates at 100% power. In some circumstances, however, there might be a need to isolate specific frequencies to a smaller area. By reducing the power of the radio, you can prevent transmissions from reaching beyond your corporate/home office or designated wireless area.
help187, Normalmente il trasmettitore senza-fili funziona alla potenza del 100%. In alcune circostanze, tuttavia, ci potrebbe essere una necessit? di isolare le frequenze specifiche ad una più piccola zona. Riducendo la potenza della frequenza radio, potete impedire alle trasmissioni di raggiungere il vostro ufficio/azienda oppure un??area wireless.
#From: help184,Beacons are packets sent by a wireless router to synchronize wireless devices. Specify a Beacon Period value between 20 and 1000. The default value is set to 100 milliseconds.
help184, II segnali sono pacchetti trasmessi da un router senza-fili per sincronizzare i dispositivi senza-fili. Specificare un valore di periodo del segnale fra 20 e 1000. Il valore preimpostato è regolato a 100 millisecondi.
#From: help183,are recommended.
help183, sono suggerite.
#From: help181,Setting the Fragmentation value too low may result in poor performance.
help181,Impostare un valore di frammentazione troppo basso porta a scarse prestazioni.
#From: help185,A DTIM is a countdown informing clients of the next window for listening to broadcast and multicast messages. When the wireless router has buffered broadcast or multicast messages for associated clients, it sends the next DTIM with a DTIM Interval value. Wireless clients detect the beacons and awaken to receive the broadcast and multicast messages. The default value is 1. Valid settings are between 1 and 255.
help185, Un DTIM è un client d'informazione di conto alla rovescia della finestra successiva per ascoltare la radiodiffusione ed i messaggi multicast. Quando il router senza-fili ha bufferizzato la radiodiffusione o i messaggi del multicast per i clienti collegati, trasmette il DTIM seguente con un valore di intervallo di DTIM. I clienti senza fili rilevano i segnali e si accendono per ricevere la radiodiffusione ed i messaggi del multicast. Il valore preimpostato è 1. Le impostazioni valide sono fra 1 e 255.
#From: help186,Enables 802.11d operation. 802.11d is a wireless specification for operation in additional regulatory domains. This supplement to the 802.11 specifications defines the physical layer requirements (channelization, hopping patterns, new values for current MIB attributes, and other requirements to extend the operation of 802.11 WLANs to new regulatory domains (countries). The current 802.11 standard defines operation in only a few regulatory domains (countries). This supplement adds the requirements and definitions necessary to allow 802.11 WLAN equipment to operate in markets not served by the current standard. Enable this option if you are operating in one of these "additional regulatory domains".
help186, 802.11d. 802.11d. è una specifica wireless per il funzionamento nei settori regolatori supplementari. Questa aggiunta alla specifica 802.11 definisce i requisiti di strato fisico (channelization, hopping patterns, nuovi valori per gli attributi correnti del MIB, ed altri requisiti per estendere il funzionamento delle operazioni 802.11 WLANs fino i nuovi domini regolatori (paesi). Lo standard corrente 802.11 definisce il funzionamento soltanto in alcuni domini regolatori (paesi). Questo supplemento aggiunge i requisiti e le definizioni necessari per permettere che un'apparecchiatura di 802.11 WLAN funzioni nei mercati non serviti dallo standard corrente. Abilitando questa opzione se state operando in uno di questi "domini regolatori supplementari".
#From: help188.wmm, Enabling WMM can help control latency and jitter when transmitting multimedia content over a wireless connection.
help188.wmm, Abilitando WMM si aiuta il controllo dello stato latente quando viene trasmesso un contenuto attraverso una connessione senza fili..
#From: aw.sgi.h1,Using a short (400ns) guard interval can increase throughput. However, it can also increase error rate in some installations, due to increased sensitivity to radio-frequency reflections.
aw.sgi.h1, Usando un intervallo corto della protezione (400ns) si può aumentare il rendimento. Tuttavia, può anche aumentare il tasso di errore in alcune installazioni, dovuto la sensibilit? aumentata alle riflessioni di radiofrequenza.
#From: .worksbest,Select the option that works best for your installation.
.worksbest, Selezionare l'opzione che funziona meglio per la vostra installazione.
#From: help.upnp.1,UPnP is short for Universal Plug and Play, which is a networking architecture that provides compatibility among networking equipment, software, and peripherals. This router has optional UPnP capability, and can work with other UPnP devices and software.
help.upnp.1, UPnP è corto per l??Universal Plug and Play, che è un'architettura della rete che fornisce la compatibilit? fra l'apparecchiatura della rete, software, ed altre periferiche. Questo router ha possibilit? facoltativa di utilizzare UPnP, e può funzionare con gli altri dispositivi e software UPnP.
#From: help.upnp.2,If you need to use the UPnP functionality, you can enable it here.
help.upnp.2, Se dovete usare la funzionalit? di UPnP, potete abilitarli qui.
#From: anet.wan.ping.1,Pinging public WAN IP addresses is a common method used by hackers to test whether your WAN IP address is valid.
anet.wan.ping.1, Pingare un indirizzo IP publico é un metodo commune impiegato dai hackers per esaminare se il vostro indirizzo IP WAN è valido.
#From: anet.wan.ping.2,If you leave this option unchecked, you are causing the router to ignore <code>ping</code> commands for the public WAN IP address of the router.
anet.wan.ping.2, Se lasciate questa opzione incontrollata, state inducendo il router ad ignorare <code>ping</code> comandi per l??indirizzo IP WAN del router.
#From: help296,Normally, this is set to "auto". If you have trouble connecting to the WAN, try the other settings.
help296,Di solito questa opzione è impostata su "auto". In caso di problemi di connessione alla WAN, provare le altre impostazioni.
#From: bln.IGMP.title.h,The router uses the IGMP protocol to support efficient multicasting -- transmission of identical content, such as multimedia, from a source to a number of recipients.
bln.IGMP.title.h, Il router usa il protocollo di IGMP per supportare il multicasting efficiente -- trasmissione del contenuto, quali le multimedia, da una sorgente ad un certo numero di destinatari.
#From: igmp.e.h,This option must be enabled if any applications on the LAN participate in a multicast group. If you have a multimedia LAN application that is not receiving content as expected, try enabling this option.
igmp.e.h, Questa opzione deve essere abilitata se delle applicazioni sulla LAN partecipano ad un gruppo multicast. Se avete un'applicazione in rete multimediale che non sta ricevendo i contenuti in modo non corretto, provaread abilitare questa opzione.
#From: help201a,Setup Help
help201a, Aiuto Setup
#From: .wireless,Wireless
.wireless,Wireless
#From: help203,Note: Do not connect more than one USB flash drive to the router, not even with a USB hub.
help203,Nota: Non collegare più di un'unit? flash USB al router, anche in presenza di un hub USB.
#From: bi.wiz,If you are new to networking and have never configured a router before, click on <span class="button_ref">Setup Wizard</span> and the router will guide you through a few simple steps to get your network up and running.
bi.wiz, Se siete nuovi utenti networking e non avete mai configurato un router prima, cliccare <span class="button_ref">Setup Wizard</span> ed il router vi guider? attraverso dei semplici passi per avviare la rete.
#From: bi.man,If you consider yourself an advanced user and have configured a router before, click <span class="button_ref">Manual Configure</span> to input all the settings manually.
bi.man, Se vi considerate un utente avanzato ed avete configurato un router prima, click <span class="button_ref">Configurazione Manuale</span> per immettere manualmente tutte le impostazioni.
#From: help349,The wireless section is used to configure the wireless settings for your D-Link router. Note that changes made in this section may also need to be duplicated on wireless clients that you want to connect to your wireless network.
help349, La sezione senza-fili è usata per configurare le impostazioni senza-fili per il vostro router di D-Link. Si noti che i cambiamenti fatti in questa sezione possono anche avere bisogno di essere duplicati sui client senza-fili che desiderate collegare alla vostra rete senza-fili.
#From: help351,This option turns off and on the wireless connection feature of the router. When you set this option, the following parameters are in effect.
help351, Questa opzione abilita e disabilita la connessione wireless del router.  Quando avete regolato questa opzione, i seguenti parametri sono in essere.
#From: help352,When you are browsing for available wireless networks, this is the name that will appear in the list (unless Visibility Status is set to Invisible, see below). This name is also referred to as the SSID. For security purposes, it is highly recommended to change from the pre-configured network name.
help352, Quando state cercando le reti senza-fili disponibili, questo è il nome che comparir? nella lista (a meno che la condizione di visibilit? sia regolata ad invisibile, vedere sotto). Questo nome é conosciuto come SSID. Per scopo di sicurezza, é altamente  suggerito di cambiare il nome rispetto a quello predefinito.
#From: help354,If you select this option, the router automatically finds the channel with least interference and uses that channel for wireless networking. If you disable this option, the router uses the channel that you specify with the following <span class="option">Wireless Channel</span> option.
help354, Se selezionate questa opzione, il router trova automaticamente il canale con meno interferenza e utilizza questo canale per la rete senza fili. Se disabilitate questa opzione, il router utilizza il canale che specificate con i parametri seguenti <span class="option"> Canale Senza-fili</span> opzione.
#From: help355,A wireless network uses specific channels in the wireless spectrum to handle communication between clients. Some channels in your area may have interference from other electronic devices. Choose the clearest channel to help optimize the performance and coverage of your wireless network.
help355, Una rete senza-fili utilizza i canali specifici nel complesso senza-fili per amministrare la comunicazione fra i clients. Alcuni canali nella vostra zona possono avere interferenze da altri dispositivi elettronici. Scelga il canale migliore per contribuire ad ottimizzare le prestazioni e la copertura della vostra rete senza-fili.
#From: help357,If all of the wireless devices you want to connect with this router can connect in the same transmission mode, you can improve performance slightly by choosing the appropriate "Only" mode. If you have some devices that use a different transmission mode, choose the appropriate "Mixed" mode.
help357, Se tutti i dispositivi senza-fili che desiderate collegare con questo router possono essere collegati nello stesso tipo di trasmissione, potete migliorare un po'le prestazioni scegliendo la modalit?  "Only". Se avete alcuni dispositivi che usano un tipo di trasmissione differente, scelga La modalit? "Mixed".
#From: bwl.CWM.h1,The "Auto 20/40 MHz" option is usually best.
bwl.CWM.h1, L??opzione  "Auto 20/40 MHz" è solitamente la migliore.
#From: bwl.CWM.h2,The other options are available for special circumstances.
bwl.CWM.h2, Le altre opzioni sono disponibili per le circostanze speciali.
#From: help356,By default the fastest possible transmission rate will be selected. You have the option of selecting the speed if necessary.
help356, La trasmissione più veloce possibile sar? selezionata in automatico. Se necessario è possibile selezionare la velocit?.
#From: help353,The Invisible option allows you to hide your wireless network. When this option is set to Visible, your wireless network name is broadcast to anyone within the range of your signal. If you're not using encryption then they could connect to your network. When Invisible mode is enabled, you must enter the Wireless Network Name (SSID) on the client manually to connect to the network.
help353, L'opzione invisibile permette di nascondere la vostra rete senza-fili. Quando questa opzione è regolata a Visibile, il nome della rete senza file è visibile a chiunque all'interno della portata del vostro segnale. Se non state usando la crittografia allora si potrebbero collegare alla vostra rete. Quando la modalit? Invisibile é abilitata, dovete digitare manualmente il nome senza-fili della rete (SSID) sul client per collegare
#From: bws.SM.h1,Unless one of these encryption modes is selected, wireless transmissions to and from your wireless network can be easily intercepted and interpreted by unauthorized users.
bws.SM.h1, A meno che uno di questi modi di crittografia sia selezionato, le trasmissioni senza-fili verso e dalla vostra rete senza-fili possono essere intercettate ed interpretate facilmente dagli utenti non autorizzati.
#From: help372,WPA-Personal and WPA-Enterprise
help372, WPA-Personal e WPA-Enterprise
#From: help373,Both of these options select some variant of Wi-Fi Protected Access (WPA) -- security standards published by the Wi-Fi Alliance. The <span class="option">WPA Mode</span> further refines the variant that the router should employ.
help373,Entrambe le opzioni consentono di selezionare alcune varianti degli standard di protezione WPA (Wi-Fi Protected Access) pubblicati da Wi-Fi Alliance. La <span class="option">modalit? WPA</span> specifica ulteriormente la variante che deve essere utilizzata dal router.
#From: help374,WPA Mode:
help374, Modalit? WPA:
#From: help378,Group Key Update Interval:
help378, Aggiornamento delle Chiavi:
#From: help379,The amount of time before the group key used for broadcast and multicast data is changed.
help379, Il tempo prima che il tasto del gruppo usato per la radiodiffusione ed i dati del multicast è cambiato.
#From: help380,This option uses Wi-Fi Protected Access with a Pre-Shared Key (PSK).
help380, Questa opzione usa l'accesso protetto Wi-Fi con una chiave  Pre-condivisa(PSK).
#From: help381,Pre-Shared Key:
help381, Chiave Precondivisa:
#From: help382,The key is entered as a pass-phrase of up to 63 alphanumeric characters in ASCII (American Standard Code for Information Interchange) format at both ends of the wireless connection. It cannot be shorter than eight characters, although for proper security it needs to be of ample length and should not be a commonly known phrase. This phrase is used to generate session keys that are unique for each wireless client.
help382, La chiave è stata inserita come pass-phrase  fino a 63 caratteri alfanumerici nel formato di ASCII (codice di standard americano per scambio di informazioni) ad entrambe le estremit? del collegamento senza fili. Non può essere più corto di otto caratteri, anche se per sicurezza adeguata deve essere della lunghezza consentita e non dovrebbe essere una frase comunemente conosciuta. Questa frase è usata per generare delle chiavi di sessione che sono uniche per ogni client senza-fili.
#From: help367,Example:
help367, Esempio:
#From: help383,Wireless Networking technology enables ubiquitous communication
help383, La tecnologia senza-fili della rete permette la comunicazione con ubiquit?.
#From: help384,This option works with a RADIUS Server to authenticate wireless clients. Wireless clients should have established the necessary credentials before attempting to authenticate to the Server through this Gateway. Furthermore, it may be necessary to configure the RADIUS Server to allow this Gateway to authenticate users.
help384, Questa opzione funziona con un server RADIUS per autenticare i clients senza-fili. I clients senza-fili dovrebbero stabilire le credenziali necessarie prima di tentare di autenticarsi al server tramite questo Gateway. Ancora, può essere necessario configurare il server RADIUS per permettere che questo Gateway autentichi gli utenti.
#From: help385,Authentication Timeout:
help385, Timeout di autenticazione:
#From: help386,Amount of time before a client will be required to re-authenticate.
help386, Tempo prima che un cliente sia tenuto di nuovo ad autenticarsi.
#From: help387,RADIUS Server IP Address:
help387, Indirizzo IP del Server RADIUS:
#From: help388,The IP address of the authentication server.
help388,l'indirizzo IP del server di autenticazione.
#From: help389,RADIUS Server Port:
help389, Porta del Server RADIUS:
#From: help390,The port number used to connect to the authentication server.
help390,il numero di porta utilizzato per la connessione al server di autenticazione.
#From: help391,RADIUS Server Shared Secret:
help391, Segreto Comune del Server RADIUS:
#From: help392,A pass-phrase that must match with the authentication server.
help392, Una pass-frase che deve abbinarsi con il server di autenticazione.
#From: help393,MAC Address Authentication:
help393, Autenticazione indirizzo MAC:
#From: help394,If this is selected, the user must connect from the same computer whenever logging into the wireless network.
help394, Se questo è selezionato, l'utente si deve collegare dallo stesso computer ogni volta che si autentica nella rete senza-fili.
#From: help395,Advanced:
help395, Avanzato:
#From: help396,Optional Backup RADIUS Server
help396, Server Di riserva Facoltativo del RAGGIO
#From: help397,This option enables configuration of an optional second RADIUS server. A second RADIUS server can be used as backup for the primary RADIUS server. The second RADIUS server is consulted only when the primary server is not available or not responding. The fields <span class="option">Second RADIUS Server IP Address</span>, <span class="option">RADIUS Server Port</span>, <span class="option">Second RADIUS server Shared Secret</span>, <span class="option">Second MAC Address Authentication</span> provide the corresponding parameters for the second RADIUS Server.
help397, Questa opzione permette la configurazione di un secondo server facoltativo del RAGGIO. Un secondo server del RAGGIO può essere utilizzato come recupero per il server primario del RAGGIO. Il secondo server del RAGGIO è consultato soltanto quando il server primario non è disponibile o non rispondente. I campi <span class="option">Secondo IP indirizzo Del Server del RAGGIO </span>,<span class="option"> Secondo segreto comune del RAGGIO server </span>,<span class="option">Seconda Autenticazione Di MAC indirizzo</span>fornisca i parametri corrispondenti per il secondo server del RAGGIO.
#From: help254,The WAN (Wide Area Network) section is where you configure your Internet Connection type.
help254, Il WAN (Network Di Zona Larga) è dove configurate il vostro tipo di collegamento del Internet.
#From: help254.ict,There are several connection types to choose from: Static IP, DHCP, PPPoE, PPTP and L2TP. If you are unsure of your connection method, please contact your Internet Service Provider. Note: If using the PPPoE option, you will need to ensure that any PPPoE client software on your computers is removed or disabled.
